ID,label
0,2
4,4
7,1
14,2
15,1
18,4
19,2
23,4
30,1
34,4
42,1
44,2
46,2
47,9
51,1
56,2
59,1
60,2
63,1
65,2
66,1
67,2
72,2
75,4
80,4
81,4
85,2
92,1
101,2
111,1
114,4
116,2
122,1
123,4
125,4
129,2
132,2
143,4
163,4
167,2
169,2
171,4
179,1
180,4
188,2
193,1
200,1
208,2
213,4
221,4
235,1
243,2
250,4
261,2
265,1
270,2
276,4
282,2
285,2
289,1
308,1
311,2
318,2
326,1
328,4
337,9
349,4
362,9
442,4
451,3
490,2
515,2
537,4
587,4
638,3
652,2
657,4
661,1
814,9
828,2
830,1
839,4
852,2
862,3
894,1
912,4
933,1
934,2
937,1
939,4
948,4
963,4
975,4
993,4
1002,2
1061,4
1071,1
1076,9
1091,4
1097,4
1122,1
1124,9
1126,2
1129,2
1132,3
1133,1
1146,3
1150,2
1154,2
1157,2
1160,1
1162,3
1165,1
1166,1
1178,1
1179,3
1180,1
1182,3
1185,3
1187,3
1189,3
1195,3
1199,1
1207,2
1209,3
1213,9
1215,9
1219,3
1220,1
1225,1
1226,9
1228,3
1235,3
1239,5
1245,1
1247,4
1249,4
1258,9
1262,3
1267,3
1283,1
1292,5
1298,1
1336,4
1343,1
1731,1
1817,3
2099,9
2892,3
4649,7
5380,7
5468,1
5476,1
5519,1
5563,1
5581,1
5590,1
5591,1
5754,1
5759,1
5761,1
5827,1
5831,3
5874,1
5882,1
5916,1
5922,1
5928,1
5980,1
5987,1
6013,1
6086,1
6114,1
6143,3
6148,1
6191,1
6213,1
6214,1
6263,1
6311,5
6325,1
6349,1
6365,1
6391,1
6414,1
6424,3
6521,1
6524,1
6526,9
6530,1
6608,1
6668,1
6705,1
6707,1
6722,1
6826,1
6882,1
6907,1
6916,9
6921,1
6925,1
6982,1
6996,9
7000,1
7019,1
7068,1
7071,3
7088,1
7148,1
7177,1
7245,1
7247,1
7259,9
7336,1
7353,1
7387,1
7388,1
7396,1
7444,1
7455,1
7528,1
7547,1
7561,1
7589,1
7590,1
7630,1
7665,1
7677,1
7688,1
7717,9
7722,1
7738,1
7747,1
7753,1
7805,1
7819,1
7853,1
7915,1
7919,1
7941,1
7949,1
7975,1
7998,1
8014,1
8080,1
8105,1
8119,1
8205,1
8216,1
8230,1
8234,1
8242,1
8260,1
8261,1
8290,1
8295,1
8421,1
8432,1
